City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
278,Onguday,RU,2022-11-26 23:55:55,50.75,86.15,-30.32,99,82,1.52
279,Zhangjiakou,CN,2022-11-26 23:55:56,40.81,114.8794,25.3,40,99,0.87
280,Maningrida,AU,2022-11-26 23:55:56,-12.0667,134.2667,88.88,59,93,2.42
281,Samana,DO,2022-11-26 23:55:56,19.2056,-69.3369,80.56,87,10,6.51
282,Swan River,CA,2022-11-26 23:55:57,52.1058,-101.2676,31.89,69,49,8.05
283,Faya,SA,2022-11-26 23:55:57,18.3851,42.4509,55.92,60,97,2.42
284,San Joaquin,US,2022-11-26 23:55:57,37.9333,-121.3011,67.28,40,1,7.45
285,Olovyannaya,RU,2022-11-26 23:55:58,50.95,115.5667,1.27,97,100,4.21
286,Mazara Del Vallo,IT,2022-11-26 23:55:58,37.6641,12.588,58.93,81,91,25.64
287,Tateyama,JP,2022-11-26 23:55:58,34.9833,139.8667,62.1,67,0,15.97
288,Platanos,GR,2022-11-26 23:55:59,37.6667,21.6167,56.08,74,92,7.96
289,Dawei,MM,2022-11-26 23:55:59,14.0833,98.2,74.93,94,100,3.2
290,Aracuai,BR,2022-11-26 23:55:59,-16.8497,-42.0703,71.89,94,99,0.81
291,Lander,US,2022-11-26 23:56:00,42.833,-108.7307,39.79,93,100,5.75
292,Chumikan,RU,2022-11-26 23:56:00,54.7183,135.315,-5.6,82,31,11.39
